1,おはよう,お早う,Good morning,0
2,おはようございます,お早う御座います,Good morning (polite),0
3,こんにちは,,Good afternoon,0
4,こんばんは,,Good evening,0
5,さようなら,,Goodbye (for a long time),0
6,おやすみ,,Good night,0
7,おやすみなさい,,Good night (polite),0
8,ありがとう,,Thank you,0
9,ありがとうございます,,Thank you (polite),0
10,すみません,,Excuse me; I'm sorry,0
11,いいえ,,No; Not at all,0
12,いってきます,,I'm leaving home and coming back,0
13,いってらしゃい,,Please leave home and come back,0
14,ただいま,,I'm home,0
15,おかえり,,Welcome home,0
16,おかえりなさい,,Welcome home (polite),0
17,いただきます,,Thanks for the meal (before eating),0
18,ごちそうさま,,Thanks for the meal (after eating),0
19,ごちそうさまでした,,Thanks for the meal (after eating) (polite),0
20,はじめまして,,How do you do?,0
21,〜です,,I am...,0
22,よろしくおねがいします,,Nice to meet you,0
23,ゼロ;れい,,0,0
24,いち,一,1,0
25,に,二,2,0
26,さん,三,3,0
27,よん;し;よ,四,4,0
28,ご,五,5,0
29,ろく,六,6,0
30,なな;しち,七,7,0
31,はち,八,8,0
32,きゅう;く,九,9,0
33,じゅう,十,10,0
34,ひゃく,百,100,0
35,あの,,um...,1
36,いま,今,now,1
37,えいご,英語,English (language),1
38,がくせい,学生,student,1
39,〜ご,〜語,language,1
40,こうこう,高校,high school,1
41,ごご,午後,P.M.,1
42,ごぜん,午前,A.M.,1
43,〜さい,〜歳,...years old,1
44,〜さん,,Mr./Ms....,1
45,〜じ,〜時,o'clock,1
46,〜じん,〜人,people,1
47,せんせい,先生,teacher; Professor ...,1
48,せんもん,専門,major,1
49,そうです,,That's right.,1
50,だいがく,大学,college; university,1
51,でんわ,電話,telephone,1
52,ともだち,友達,friend,1
53,なまえ,名前,name,1
54,なん／なに,何,what,1
55,にほん,日本,Japan,1
56,〜ねんせい,〜年生,...year student,1
57,はい,,ys,1
58,はん,半,half,1
59,ばんごう,番号,number,1
60,りゅうがくせい,留学生,international student,1
61,わたし,私,I,1
62,アメリカ,,U.S.A.,1
63,イギリス,,Britain,1
64,オーストラリア,,Australia,1
65,かんこく,韓国,Korea,1
66,スウェーデン,,Sweden,1
67,ちゅうごく,中国,China,1
68,かがく,科学,science,1
69,アジアけんきゅう,アジア研究,Asian studies,1
70,こくさいかんけい,国際関係,international relations,1
71,コンピューター,,computer,1
72,じんるいがく,人類学,anthropology,1
73,せいじ,政治,politics,1
74,ビジネス,,business,1
75,ぶんがく,文学,literature,1
76,れきし,歴史,history,1
77,しごと,仕事,job; work; occupation,1
78,いしゃ,医者,doctor,1
79,かいしゃいん,会社員,office worker,1
80,こうこうせい,高校生,high school student,1
81,しゅふ,主婦,housewife,1
82,だいがくいんせい,大学院生,graduate student,1
83,だいがくせい,大学生,college student,1
84,べんごし,弁護士,lawyer,1
85,おかあさん,お母さん,mother,1
86,おとうさん,お父さん,father,1
87,おねえさん,お姉さん,older sister,1
88,おにいさん,お兄さん,older brother,1
89,いもうと,妹,younger sister,1
90,おとうと,弟,younger brother,1
91,これ,,this one,2
92,それ,,that one,2
93,あれ,,that one (over there),2
94,どれ,,which one,2
95,この,,this ...,2
96,その,,that ...,2
97,あの,,that ... (over there),2
98,どの,,which ...,2
99,あそこ,,over there,2
100,どこ,,where,2
101,だれ,,who,2
102,おいしい,,delicious,2
103,さかな,魚,fish,2
104,とんかつ,,pork cutlet,2
105,にく,肉,meat,2
106,メニュー,,menu,2
